Attributes,HeLa.S3.WT.00_h.R1,HeLa.S3.WT.00_h.R2,HeLa.S3.WT.00_h.R3,HeLa.S3.WT.02_h.R1,HeLa.S3.WT.02_h.R2,HeLa.S3.WT.02_h.R3,HeLa.S3.WT.04_h.R1,HeLa.S3.WT.04_h.R2,HeLa.S3.WT.04_h.R3,HeLa.S3.WT.08_h.R1,HeLa.S3.WT.08_h.R2,HeLa.S3.WT.08_h.R3,HeLa.S3.WT.16_h.R1,HeLa.S3.WT.16_h.R2,HeLa.S3.WT.16_h.R3,HeLa.S3.WT.24_h.R1,HeLa.S3.WT.24_h.R2,HeLa.S3.WT.24_h.R3
E1W6V8,78.5,105.5,100.5,9,9.5,3,15.5,24,3,13.5,17.5,18.5,21,20,23,51,53.5,59
E1W6V9,111,144.5,134,8,6,19,17,23.5,7,4.5,17,21.5,14.5,27,19.5,42.5,46,46.5
E1W6W0,85,85.5,103.5,5,9,4.5,9.5,22,3.5,13.5,22,7,17.5,22.5,20.5,50,51,58
E1W6W1,179,244,225,8,9.5,4.5,14.5,21.5,7.5,14.5,21,9,35,35,24,120,131.5,174
E1W6W2,3.5,7,8.5,1.5,4.5,1.5,1.5,4,5,5.5,9.5,5,16,20.5,14.5,21.5,28.5,36.5
E1W6W3,14.5,17,19.5,5,5,2,11.5,14,11.5,14,40.5,23,32,44.5,45.5,63,69,72.5
E1W6W4,5,13,11.5,2.5,6.5,0.5,5.5,21.5,8.5,14.5,30.5,10.5,36,40.5,33,66,67,80
E1W6W5,18.5,13.5,19,2,4,0,4.5,12,4,8,13,7.5,16,16,17,60,50.5,72.5
E1W6W6,7.5,14,9.5,2,0.5,0,4,3,2.5,4.5,6,3.5,6.5,7.5,6,42,27,29.5
E1W6W7,23,21.5,22.5,0.5,5,1.5,4,6,4,3,14,5.5,19,20,20,55.5,63,69
E1W6W8,5.5,9,6,2.5,1,1.5,4.5,5.5,1,5,11.5,1.5,13,17.5,18.5,40,66,56.5
E1W6W9,5.5,8,5,0.5,0,0,2,2,1,1,2.5,0,7,12.5,8.5,54.5,69,90.5
E1W6X0,5,16.5,15,0,0.5,1.5,1.5,3.5,0,2.5,1,1,6.5,7.5,11.5,84,75,106.5
E1W6X1,27.5,34,32.5,0.5,1.5,0,2,3.5,0.5,2,5,2,8.5,12,10.5,45,43.5,65.5
E1W6X2,27,42,31.5,4.5,8.5,2,12.5,27.5,6,7.5,12.5,12,23,28.5,19.5,87.5,93,119.5
E1W6X3,79,114.5,56,57.5,81,23.5,98,167.5,54,86.5,172.5,113,183,208,163,254.5,270,295.5
E1W6X4,20,28,38.5,17,17,11,19,59.5,19,39,64.5,44.5,90.5,98,88,307,338,387.5
E1W6X5,29.5,42.5,40.5,11,19.5,8.5,16,43.5,26,32,66,48,88.5,100.5,85.5,301.5,306,432.5
E1W6X6,14.5,28,12.5,12,6.5,3.5,11.5,18,7.5,28,45,19.5,48,62,39,103.5,113,122
E1W6X7,102.5,144.5,87.5,24,29,13.5,36.5,82,22,26.5,52,76.5,93.5,109,125.5,341,358,354.5
E1W6X8,263.5,342.5,415,72,86,48,127,234.5,109,258,569.5,241,636.5,833.5,653.5,2134.5,2219.5,2639.5
E1W6X9,1.3,0.7,0.4,0,0.4,0,0.2,0.1,0.7,0.2,1.1,1.5,3.3,6.5,4.3,16.5,9.3,10.7
E1W6Y0,0.5,0,1.5,0,0,0,1,1,0.5,2.5,3.5,1,8,8,10,36.5,31.5,42
E1W6Y1,2,3,2,0,1,1,0,0,0,0,2.5,0.5,2.5,5.5,5.5,15,22.5,24
E1W6Y2,3.5,3,3.5,1,1.5,0,0,1.5,1,0.5,2.5,0,7,2,3.5,14.5,18.5,25
E1W6Y3,0,2,2,1,1.5,0,0.5,1,0.5,1,1.5,1,4,0.5,4.5,14.5,25,17.5
E1W6Y4,8.5,6.5,10,0,1,2,1,2.5,0,1,0.5,0.5,8.5,12,21,134,148.5,187
E1W6Y5,320,430,292,18.5,21.5,5.5,26.5,42.5,18.5,23,37,52,72.5,86.5,90,476.5,512.5,595.5
E1W6Y6,238,317,210,10,21.5,5,20.5,27.5,10.5,20.5,34,38,63,74,79.5,396,415.5,494
E1W6Y7,9.5,10,12,0,1,0,0.5,4,1,2.5,3.5,2,5.5,4.5,4.5,30,17,35.5
E1W6Y8,33,40,35.5,2.5,3,0,4.5,4,2,8,11,5.5,16,10.5,7.5,55.5,57.5,73.5
E1W6Y9,29,55.5,35.5,1,5.5,1.5,5,2,2.5,4.5,6.5,7,10.5,18,27.5,145,166,211
E1W6Z0,61,70.5,69.5,18,20.5,23,37.5,76,26.5,43.5,96.5,48,88,122,79.5,191,238,283.5
E1W6Z1,206,251,214,25,36.5,16,42.5,91.5,25,30.5,84.5,70.5,76,92,74.5,220,264,272.5
E1W6Z2,204.5,313.5,273.5,20,30,11,40.5,88,33,38,83.5,76.5,99.5,115,120.5,359,418.5,496
E1W6Z3,42.5,61.5,66.5,10.5,12,1.5,11.5,28,4.5,12.5,28,18,30.5,28.5,34.5,83.5,98.5,121.5
E1W6Z4,51.5,63,63.5,9,9,0,13,23.5,7.5,10,23.5,11.5,21.5,20.5,24.5,91.5,87.5,114
E1W6Z5,106,146,198,15.5,21.5,11.5,31,55.5,16.5,35,55,55,72.5,102.5,106,256.5,297.5,351.5
E1W6Z6,4,3.5,3.5,0,0.5,0,0.5,4,1,1.5,3.5,2.5,7.5,5,5,37,41,44.5
E1W6Z7,0,0.5,1,0,0,0,0,0.5,0.5,1,0,0.5,1.5,0,3,7,7,8.5
E1W6Z8,0.5,1.5,5.5,0.5,1.5,0,0.5,7.5,1,1.5,6,3.5,7.5,13,11.5,20,24,24.5
E1W6Z9,3.5,8,3.5,0.5,0,0.5,0,2,1,5,5,1,7.5,7,11,62,62.5,79.5
E1W700,3,3,2.5,5,7,1.5,6.5,8,6.5,8.5,23,9,17,20,15,22,30.5,33
E1W701,34.5,49.5,46.5,4,8,1,6.5,11,3.5,11,20.5,18.5,32.5,36,31,132,131,118.5
E1W702,15.5,26,12,0,0,1,2.5,3.5,0,2,6.5,3,5,12,7.5,21.5,41.5,34
